Catalog_Number,Calendar_Date,Year,Eclipse_Time,Delta_T,Lunation_Number,Saros_Number,Eclipse Type,Gamma,Eclipse_Magnitude,Latitude,Longitude,Sun_Altitude,Sun_Azimuth,Path_Width,Central_Duration
9381,1942 September 10,1942,15:39:32,26,-709,153,P,1.2571,0.523,71.9N,50.0E,0,286,,
9382,1943 February 4,1943,23:38:10,26,-704,120,T,0.8734,1.0331,43.6N,175.1E,29,165,229,2.39
9383,1943 August 1,1943,04:16:13,26,-698,125,A,-0.8041,0.9409,34.8S,108.6E,36,11,367,6.59
9384,1944 January 25,1944,15:26:42,26,-692,130,T,0.2025,1.0428,7.6S,50.2W,78,172,146,4.09
9385,1944 July 20,1944,05:43:13,27,-686,135,A,-0.0314,0.97,19.0N,95.7E,88,6,108,3.42
9386,1945 January 14,1945,05:01:43,27,-680,140,A,-0.4937,0.997,51.1S,110.3E,60,354,12,0.15
9387,1945 July 9,1945,13:27:46,27,-674,145,T,0.7356,1.018,70.0N,17.2W,42,184,92,1.15
9388,1946 January 3,1946,12:16:11,27,-668,150,P,-1.2392,0.5529,67.1S,177.6E,0,180,,
9389,1946 May 30,1946,21:00:24,28,-663,117,P,-1.0711,0.8865,64.1S,101.0W,0,328,,
9390,1946 June 29,1946,03:51:58,28,-662,155,P,1.4361,0.1802,66.6N,50.8W,0,6,,
9391,1946 November 23,1946,17:37:12,28,-657,122,P,1.105,0.7758,63.4N,45.3W,0,219,,
9392,1947 May 20,1947,13:47:47,28,-651,127,T,-0.3528,1.0557,0.2N,21.4W,69,343,196,5.13
9393,1947 November 12,1947,20:05:37,28,-645,132,A,0.3743,0.965,3.0N,117.4W,68,200,135,3.59
9394,1948 May 9,1948,02:26:04,28,-639,137,A,0.4133,0.9999,39.8N,131.2E,65,153,0,0
9395,1948 November 1,1948,05:59:18,29,-633,142,T,-0.3517,1.0231,33.1S,76.2E,69,28,84,1.56
9396,1949 April 28,1949,07:48:53,29,-627,147,P,1.2068,0.6092,61.9N,55.7W,0,59,,
9397,1949 October 21,1949,21:13:01,29,-621,152,P,-1.027,0.9638,61.5S,107.5E,0,113,,
9398,1950 March 18,1950,15:32:01,29,-616,119,A-,-0.9988,0.962,60.9S,40.9E,0,268,-,-
9399,1950 September 12,1950,03:38:47,29,-610,124,T,0.8903,1.0182,54.8N,172.3E,27,236,134,1.14
9400,1951 March 7,1951,20:53:40,30,-604,129,A,-0.242,0.9896,17.7S,123.5W,76,330,38,0.59
9401,1951 September 1,1951,12:51:51,30,-598,134,A,0.1557,0.9747,16.5N,8.5W,81,208,91,2.36
9402,1952 February 25,1952,09:11:35,30,-592,139,T,0.4697,1.0366,15.6N,32.7E,62,152,138,3.09
9403,1952 August 20,1952,15:13:35,30,-586,144,A,-0.6102,0.942,21.7S,64.1W,52,27,264,6.4
9404,1953 February 14,1953,00:59:30,30,-580,149,P,1.1331,0.7596,61.9N,104.9E,0,119,,
9405,1953 July 11,1953,02:44:14,30,-575,116,P,1.4388,0.2015,64.3N,71.7W,0,331,,
9406,1953 August 9,1953,15:55:03,30,-574,154,P,-1.344,0.3729,62.2S,114.7W,0,54,,
9407,1954 January 5,1954,02:32:01,31,-569,121,A,-0.9296,0.972,79.1S,120.8W,21,260,278,1.42
9408,1954 June 30,1954,12:32:38,31,-563,126,T,0.6135,1.0357,60.5N,4.2E,52,197,153,2.35
9409,1954 December 25,1954,07:36:42,31,-557,131,A,-0.2576,0.9323,38.4S,68.2E,75,352,262,7.39
9410,1955 June 20,1955,04:10:42,31,-551,136,T,-0.1528,1.0776,14.8N,117.0E,81,5,254,7.08
9411,1955 December 14,1955,07:02:25,31,-545,141,A,0.4266,0.9176,2.1N,72.2E,65,178,346,12.09
9412,1956 June 8,1956,21:20:39,32,-539,146,T,-0.8934,1.0581,40.8S,140.7W,26,0,429,4.45
9413,1956 December 2,1956,08:00:35,32,-533,151,P,1.0923,0.8047,67.9N,64.6E,0,187,,
9414,1957 April 30,1957,00:05:28,32,-528,118,A+,0.9992,0.9799,70.6N,40.3E,0,41,-,-
9415,1957 October 23,1957,04:54:02,32,-522,123,T-,-1.0022,1.0013,71.2S,23.1W,0,127,-,-
9416,1958 April 19,1958,03:27:17,32,-516,128,A,0.275,0.9408,26.5N,123.6E,74,164,228,7.07
9417,1958 October 12,1958,20:55:28,33,-510,133,T,-0.2951,1.0608,24.0S,142.4W,73,18,209,5.11
9418,1959 April 8,1959,03:24:08,33,-504,138,A,-0.4546,0.9401,19.1S,137.6E,63,343,247,7.26
9419,1959 October 2,1959,12:27:00,33,-498,143,T,0.4207,1.0325,20.4N,1.4W,65,199,120,3.02
9420,1960 March 27,1960,07:25:07,33,-492,148,P,-1.1537,0.7058,72.1S,151.9E,0,279,,
