Catalog Number,Calendar_Date,Year,Eclipse Time,Delta T (s),Lunation Number,Saros_Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral_Eclipse_Duration,Partial_Eclipse_Duration,Total_Eclipse_Duration
9846,2086 November 20,2086,20:19:42,172,1074,127,P,#NAME?,0.4799,1.9679,0.9865,20N,52E,309.5,188.1,-
9847,2087 May 17,2087,15:55:20,173,1080,132,T+,pp,0.1999,2.5276,1.4554,19S,121E,371,230.6,95.1
9848,2087 November 10,2087,12:05:33,174,1086,137,T-,p-,-0.2043,2.4654,1.5006,17N,175E,316.4,206.6,88.9
9849,2088 May 5,2088,16:16:50,175,1092,142,P,t-,0.9387,1.1695,0.1019,16S,116E,297.9,77.1,-
9850,2088 October 30,2088,03:03:20,177,1098,147,P,a-,-0.9147,1.1761,0.1831,13N,49W,268.5,93.6,-
9851,2089 March 26,2089,09:34:14,178,1103,114,N,#NAME?,-1.1038,0.8332,-0.1681,4S,142W,237.8,-,-
9852,2089 September 19,2089,22:11:17,179,1109,119,N,#NAME?,1.1447,0.7893,-0.2737,0N,26E,252.2,-,-
9853,2090 March 15,2090,23:48:31,180,1115,124,T,#NAME?,-0.3674,2.1659,1.2012,1N,6E,311.3,197.5,63
9854,2090 September 8,2090,22:52:29,181,1121,129,T,#NAME?,0.4257,2.1167,1.0377,5S,17E,362,213.1,31.9
9855,2091 March 5,2091,15:58:22,182,1127,134,T,p-,0.3212,2.2537,1.2832,6N,124E,315,201.3,72.9
9856,2091 August 29,2091,00:38:25,183,1133,139,T,t-,-0.327,2.281,1.2351,10S,8W,353.4,217.5,72.9
9857,2092 February 23,2092,05:20:59,184,1139,144,N,a-,1.0509,0.9383,-0.0789,11N,76W,252.4,-,-
9858,2092 July 19,2092,00:41:58,185,1144,111,Ne,#NAME?,1.5131,0.062,-0.8992,19S,8W,67.7,-,-
9859,2092 August 17,2092,09:13:59,185,1145,149,N,a-,-1.0568,0.9131,-0.0757,14S,136W,246.7,-,-
9860,2093 January 12,2093,18:00:03,186,1150,116,N,#NAME?,-1.1733,0.7553,-0.3444,20N,93E,253.1,-,-
9861,2093 July 8,2093,17:24:18,187,1156,121,P,#NAME?,0.7632,1.4275,0.4872,22S,101E,275.3,141.9,-
9862,2094 January 1,2094,17:00:06,188,1162,126,P,#NAME?,-0.5024,1.9858,0.8871,22N,107E,356.5,201.2,-
9863,2094 June 28,2094,10:01:57,190,1168,131,T+,pp,0.0288,2.7865,1.8234,23S,149W,326.5,215.7,100.6
9864,2094 December 21,2094,19:56:32,191,1174,136,T+,p-,0.2016,2.5138,1.4627,24N,61E,351.2,220.5,91.6
9865,2095 June 17,2095,22:00:11,192,1180,141,P,t-,-0.7653,1.4617,0.4459,24S,31E,304.7,146.9,-
9866,2095 December 11,2095,06:15:02,193,1186,146,P,a-,0.8742,1.251,0.2565,24N,95W,272.9,108.9,-
9867,2096 May 7,2096,11:24:42,194,1191,113,N,#NAME?,1.2896,0.5309,-0.5469,16S,171W,216.9,-,-
9868,2096 June 6,2096,02:43:41,194,1192,151,Nb,t-,-1.5723,0.0047,-1.0584,24S,41W,21.2,-,-
9869,2096 October 31,2096,11:30:23,195,1197,118,N,#NAME?,-1.1307,0.7666,-0.2006,13N,175W,219.3,-,-
9870,2096 November 29,2096,21:22:22,195,1198,156,N,a-,1.5017,0.0862,-0.8816,23N,37E,78.1,-,-
9871,2097 April 26,2097,12:18:17,196,1203,123,P,#NAME?,0.5377,1.9013,0.842,13S,176E,344,195.2,-
9872,2097 October 21,2097,01:30:55,197,1209,128,T,#NAME?,-0.4608,2.0152,1.0097,11N,26W,323.1,195.2,15.2
9873,2098 April 15,2098,19:04:48,198,1215,133,T-,p-,-0.2272,2.4454,1.4369,10S,74E,338.3,215.8,89
9874,2098 October 10,2098,09:19:58,200,1221,138,T,pp,0.2749,2.3831,1.3246,7N,143W,357.4,221,82.7
9875,2099 April 5,2099,08:30:56,201,1227,143,P,a-,-0.9304,1.1333,0.168,7S,127W,257.7,88.1,-
9876,2099 September 29,2099,10:36:38,202,1233,148,Nx,t-,1.0174,1.034,-0.0512,3N,161W,288.3,-,-
