Catalog Number,Calendar_Date,Year,Eclipse Time,Delta T (s),Lunation Number,Saros_Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral_Eclipse_Duration,Partial_Eclipse_Duration,Total_Eclipse_Duration
9519,1943 February 20,1943,05:38:23,26,-704,132,P,t-,0.5751,1.8444,0.7616,12N,81W,345.1,189,-
9520,1943 August 15,1943,19:28:46,26,-698,137,P,a-,-0.5533,1.8152,0.8697,15S,69E,296.7,178.4,-
9521,1944 February 9,1944,05:14:57,26,-692,142,N,t-,1.2698,0.5792,-0.5223,16N,75W,226.7,-,-
9522,1944 July 6,1944,04:40:01,27,-687,109,N,#NAME?,1.2596,0.5328,-0.4398,21S,69W,192.7,-,-
9523,1944 August 4,1944,12:26:51,27,-686,147,N,a-,-1.2842,0.4785,-0.4758,18S,175E,179.1,-,-
9524,1944 December 29,1944,14:49:35,27,-681,114,Nx,#NAME?,-1.0114,1.022,-0.0176,22N,138E,266.6,-,-
9525,1945 June 25,1945,15:14:22,27,-675,119,P,#NAME?,0.537,1.8862,0.8593,23S,132E,333.3,192.7,-
9526,1945 December 19,1945,02:20:47,27,-669,124,T,#NAME?,-0.2845,2.3293,1.3424,23N,36W,320.9,204.9,78.9
9527,1946 June 14,1946,18:39:17,28,-663,129,T-,pp,-0.2324,2.4654,1.3983,23S,80E,369.2,229,91.1
9528,1946 December 8,1946,17:48:28,28,-657,134,T,p-,0.3864,2.1337,1.1639,23N,91E,309.5,194.9,57.3
9529,1947 June 3,1947,19:15:44,28,-651,139,P,t-,-0.9849,1.0818,0.0202,23S,70E,288.9,34.7,-
9530,1947 November 28,1947,08:34:29,28,-645,144,N,a-,1.0838,0.8683,-0.1297,22N,132W,238.3,-,-
9531,1948 April 23,1948,13:39:18,28,-640,111,P,#NAME?,1.0016,1.0171,0.0229,12S,155E,257.6,34.3,-
9532,1948 October 18,1948,02:35:41,29,-634,116,Nx,#NAME?,-1.0245,1.014,-0.0572,9N,42W,279.7,-,-
